sid	stype	description	context	celltype	controlsra	treatmentsra	date	missingtreatmentsra	missingcontrolsra	category	platform	accession	species	ptype	drug	gene
1	CD	The C2H2 zinc finger is the most prevalent DNA-binding motif in the mammalian proteome with DNA-binding domains usually containing more tandem fingers than are needed for stable sequence-specific DNA recognition. To examine the reason for the frequent presence of multiple zinc fingers we generated mice lacking finger 1 or finger 4 of the 4-finger DNA-binding domain of Ikaros a critical regulator of lymphopoiesis and leukemogenesis. Each mutant strain exhibited a specific subset of the phenotypes observed with Ikaros null mice. Of particular relevance fingers 1 and 4 contributed to distinct stages of B- and T-cell development and finger 4 was selectively required for tumor suppression in thymocytes and in a new model of BCR-ABL+ acute lymphoblastic leukemia. These results combined with transcriptome profiling (this GEO submission: RNA-Seg of whole thymus from wt and the two ZnF mutants) reveal that different subsets of fingers within multi-finger transcription factors can regulate distinct target genes and biological functions and they demonstrate that selective mutagenesis can facilitate efforts to elucidate the functions and mechanisms of action of this prevalent class of factors.	gene	Thymus	GSM797705,GSM797706	GSM797707	2017-01-04 00:11:13	GSM797703	GSM797702	gene	GPL9250	GSE32190	Mus musculus	Knockout		ZnF1
2	CD	Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS-derived skin transcriptome profiling (RNA-seq) to determine pathways and networks dependent on retinoic acid during skin development. Methods: Skin mRNA profiles of embryonic day E16.5 wild-type (WT) and Cyp26b1 knockout (Cyp26b1\\\\x89\\\\xf6\\\\xd5/\\\\x89\\\\xf6\\\\xd5) and of control and of dermal and epidermal skin fractions of Engrailed1cre;Cyp26b1f/- (En1cre;Cyp26b1f/-) conditional knockout mice were generated by deep sequencing in duplicate using Illumina HiSeq2000. The sequence reads that passed quality filters were analyzed at the transcript isoform level by ANOVA (ANOVA) and TopHat. qRT\\\\x89\\\\xdb\\\\xd2PCR validation was performed using TaqMan and SYBR Green assay. Results: RNA-Seq data were generated with Illumina\\\\x89\\\\xdb\\\\xaas HiSeq 2000 system. Raw sequencing data were processed with CASAVA 1.8.2 to generate fastq files. Reads of 50 bases were mapped to the mouse transcriptome and genome mm9 using TopHat 1.3.2. Gene expression values (RPKM) were calculated with Partek Genomics Suite 6.6 which was also used for the ANOVA analysis to determine significantly differentially expressed genes. Conclusions: Our study represents the first detailed analysis of Cyp26b1-/- skin and En1cre;Cyp26b1f/- dermis/epidermic transcriptomes with biologic replicates generated by RNA-seq technology. The optimized data analysis workflows reported here should provide a framework for comparative investigations of expression profiles. We conclude that RNA-seq based transcriptome characterization would expedite genetic network analyses and permit the dissection of complex biologic functions.	gene	Skin 	GSM994185,GSM994186	GSM994187,GSM994188	2017-01-04 00:11:24			gene		GSE40436	Mus musculus	Knockout		Cyp26b1-/-
3	CD	Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS-derived skin transcriptome profiling (RNA-seq) to determine pathways and networks dependent on retinoic acid during skin development. Methods: Skin mRNA profiles of embryonic day E16.5 wild-type (WT) and Cyp26b1 knockout (Cyp26b1−/−), and of control and of dermal and epidermal skin fractions of Engrailed1cre;Cyp26b1f/- (En1cre;Cyp26b1f/-) conditional knockout mice were generated by deep sequencing, in duplicate, using Illumina HiSeq2000. The sequence reads that passed quality filters were analyzed at the transcript isoform level by ANOVA (ANOVA) and TopHat. qRT–PCR validation was performed using TaqMan and SYBR Green assay. Results: RNA-Seq data were generated with Illumina’s HiSeq 2000 system. Raw sequencing data were processed with CASAVA 1.8.2 to generate fastq files. Reads of 50 bases were mapped to the mouse transcriptome and genome mm9 using TopHat 1.3.2. Gene expression values (RPKM) were calculated with Partek Genomics Suite 6.6, which was also used for the ANOVA analysis to determine significantly differentially expressed genes. Conclusions: Our study represents the first detailed analysis of Cyp26b1-/- skin and En1cre;Cyp26b1f/- dermis/epidermic transcriptomes, with biologic replicates, generated by RNA-seq technology. The optimized data analysis workflows reported here should provide a framework for comparative investigations of expression profiles. We conclude that RNA-seq based transcriptome characterization would expedite genetic network analyses and permit the dissection of complex biologic functions.	gene	Skin 	GSM994185,GSM994186	GSM994187,GSM994188	2017-01-04 00:11:27			gene	GPL13112	GSE40436	Mus musculus	Knockout		Cyp26b1
4	CD	MicroRNAs (miRNAs) are critical to proliferation differentiation and development. Here we characterize gene expression in murine Dicer-null adult mesenchymal stem cell lines a fibroblast cell type. Loss of Dicer leads to de-repression of let-7 targets at levels that exceed 10-100 fold with increases in transcription. Direct and indirect targets of this miRNA belong to a mid-gestation embryonic program that encompasses known oncofetal genes as well as oncogenes not previously associated with an embryonic state. Surprisingly this mid-gestation program represents a distinct period that occurs between the pluripotent state of the inner cell mass at embryonic day 3.5 and the induction of let-7 upon differentiation at embryonic day 10.5. Within this mid-gestation program we characterize the let-7 target Nr6a1 an embryonic transcriptional repressor that regulates gene expression in adult fibroblasts following miRNA loss. In total let-7 is required for the continual suppression of embryonic gene expression in adult cells a mechanism that may underlie its tumor suppressive function.	gene	Fibroblast	GSM1079797,GSM1079798	GSM1079799,GSM1079800	2017-01-04 00:11:35			gene	GPL13112	GSE44158	Mus musculus	Overexpression		DICER1
5	CD	Long noncoding RNAs (lncRNAs) have emerged as an important layer of genome regulation with common mechanistic themes including the formation of ribonucleoprotein complexes. Here, we present a novel X-linked lncRNA termed linc-Firre that escapes X-chromosome inactivation and forms trans-chromosomal interactions required for adipogenesis. Linc-Firre is exclusively nuclear and forms punctate expression foci on chromatin near its site of transcription on both X-chromosomes in human and mouse. Both the localization of linc-Firre and the association with the nuclear matrix protein hnRNPU require a conserved repeating RNA domain, R2D2. Collectively, these results reveal a lincRNA that escapes X-chromosome inactivation with a critical role in driving cell fate decisions by trans-chromosomal interactions.	gene	HeLa	GSM1098180,GSM1098181	GSM1098182,GSM1098183,GSM1098184,GSM1098185	2017-01-04 00:11:43			gene	GPL11154	GSE45157	Mus musculus	Knockdown		Firre
6	CD	Long noncoding RNAs (lncRNAs) have emerged as an important layer of genome regulation with common mechanistic themes including the formation of ribonucleoprotein complexes. Here, we present a novel X-linked lncRNA termed linc-Firre that escapes X-chromosome inactivation and forms trans-chromosomal interactions required for adipogenesis. Linc-Firre is exclusively nuclear and forms punctate expression foci on chromatin near its site of transcription on both X-chromosomes in human and mouse. Both the localization of linc-Firre and the association with the nuclear matrix protein hnRNPU require a conserved repeating RNA domain, R2D2. Collectively, these results reveal a lincRNA that escapes X-chromosome inactivation with a critical role in driving cell fate decisions by trans-chromosomal interactions.	gene	HeLa	GSM1098186,GSM1098187	GSM1098188,GSM1098189	2017-01-04 00:11:47			gene	GPL11154	GSE45157	Mus musculus	Knockdown		hnRNPU
7	CD	Protein Arginine MethylTransferase 5 (PRMT5) is known to mediate epigenetic control on chromatin and to functionally regulate components of the splicing machinery. In this study we show that selective deletion of PRMT5 in different organs leads to cell cycle arrest and apoptosis. At the molecular level, PRMT5 depletion results in reduced methylation of Sm proteins, aberrant constitutive splicing and in the Alternative Splicing (AS) of specific mRNAs. We identify Mdm4 as one of these mRNAs, which due to its weak 5’-Donor site, acts as a sensor of splicing defects and transduces the signal to activate the p53 response, providing a mechanistic explanation of the phenotype observed in PRMT5 conditional knockout mice. Our data demonstrate a key role of PRMT5, together with p53, as guardians of the transcriptome. This will have fundamental implications in our understanding of PRMT5 activity, both in physiological conditions, as well as pathological conditions, including cancer and neurological diseases.	gene	Neural Stem/Progenitors Cells	GSM1100740,GSM1100741,GSM1100742	GSM1100743,GSM1100744,GSM1100745	2017-01-04 00:11:52			gene	GPL13112	GSE45284	Mus musculus	knockout		Prmt5
8	CD	Protein Arginine MethylTransferase 5 (PRMT5) is known to mediate epigenetic control on chromatin and to functionally regulate components of the splicing machinery. In this study we show that selective deletion of PRMT5 in different organs leads to cell cycle arrest and apoptosis. At the molecular level, PRMT5 depletion results in reduced methylation of Sm proteins, aberrant constitutive splicing and in the Alternative Splicing (AS) of specific mRNAs. We identify Mdm4 as one of these mRNAs, which due to its weak 5’-Donor site, acts as a sensor of splicing defects and transduces the signal to activate the p53 response, providing a mechanistic explanation of the phenotype observed in PRMT5 conditional knockout mice. Our data demonstrate a key role of PRMT5, together with p53, as guardians of the transcriptome. This will have fundamental implications in our understanding of PRMT5 activity, both in physiological conditions, as well as pathological conditions, including cancer and neurological diseases.	gene	Mouse Embryonic Fibroblasts	GSM1100746,GSM1100747,GSM1100748	GSM1100749,GSM1100750,GSM1100751	2017-01-04 00:11:56			gene	GPL13112	GSE45284	Mus musculus	knockout		Prmt5
9	CD	We investigated the global gene expression changes in normal and Brg1-deleted mesoderm differentiation of mouse embryonic stem cells.	gene	Embryonic stem cells	GSM1104442,GSM1104443	GSM1104444,GSM1104445	2017-01-04 00:11:59			gene	GPL13112	GSE45446	Mus musculus	Deletion		Brg1
10	CD	Background: In humans, cleft palate (CP) accounts for one of the largest number of birth defects with a complex genetic and environmental etiology. TGFβ3 has been established as an important regulator of palatal fusion in mice and it has been shown that TGFβ3-null mice exhibit CP without any other major deformities. However, the genes that regulate cellular decisions and molecular mechanisms maintained by the TGFβ3 pathway throughout palatogenesis are predominantly unexplored. Our objective in this study was to analyze global transcriptome changes within the palate during different gestational ages within TGFβ3 knockout mice to identify TGFβ3-associated genes previously unknown to be associated with the development of cleft palate. We used deep sequencing technology, RNA-Seq, to analyze the transcriptome of TGFβ3 knockout mice at crucial stages of palatogenesis, including palatal growth (E14.5), adhesion (E15.5), and fusion (E16.5). Results: The overall transcriptome analysis of TGFβ3 wildtype mice (C57BL/6) reveals that almost 6000 genes were upregulated during the transition from E14.5 to E15.5 and more than 2000 were downregulated from E15.5 to E16.5. Using bioinformatics tools and databases, we identified the most comprehensive list of CP genes (n = 322) in which mutations cause CP either in humans or mice, and analyzed their expression patterns. The expression motifs of CP genes between TGFβ3+/− and TGFβ3−/− were not significantly different from each other, and the expression of the majority of CP genes remained unchanged from E14.5 to E16.5. Using these patterns, we identified 8 unique genes within TGFβ3−/− mice (Chrng Foxc2, H19, Kcnj13, Lhx8, Meox2, Shh, and Six3), which may function as the primary contributors to the development of cleft palate in TGFβ3−/− mice. When the significantly altered CP genes were overlaid with TGFβ signaling, all of these genes followed the Smad-dependent pathway. Conclusions: Our study represents the first analysis of the palatal transcriptome of the mouse, as well as TGFβ3 knockout mice, using deep sequencing methods. In this study, we characterized the critical regulation of palatal transcripts that may play key regulatory roles through crucial stages of palatal development. We identified potential causative CP genes in a TGFβ3 knockout model, which may lead to a better understanding of the genetic mechanisms of palatogenesis and provide novel potential targets for gene therapy approaches to treat cleft palate.	gene	Palatal shelves E14.5	GSM1109827,GSM1109828,GSM1109829,GSM1109830	GSM1109819,GSM1109820,GSM1109821,GSM1109822	2017-01-04 00:12:05			gene	GPL13112	GSE45568	Mus musculus	knockout		TGFB3
